Id;Host;AppName;EventName;EventLevelId;StatusId;StartTime;EndTime;Message;ParentEventId;EventCount
7762;HostCPT00001;MasterSync.Prop;Synchroniser;2;2;2021-07-27 17:02:17.9371721;2021-07-27 17:02:22.5439249;Starting Synchroniser;;2
7763;HostCPT00001;MasterSync.Prop;Processor.Validation;2;2;2021-07-27 17:02:18.2862385;2021-07-27 17:02:22.5439249;Starting MasterSync.Prop.PropSynchroniser Synchroniser 2021-07-27 05:02:18;;
7766;HostCPT00001;MasterSync.Prop;Processor.SearchDataRetrieval;2;2;2021-07-27 17:02:19.2506588;2021-07-27 17:02:23.2549190;Retrieved 0 Search records;;
7994;HostCPT00001;App.BillingGenerator;App.SubscriptionBilling;2;3;2021-07-27 17:11:16.2570970;2021-07-27 17:12:11.5061007;Processing App active subscriptions;;16
8010;HostCPT00001;App.BillingGenerator;Subscription.Validation;4;3;2021-07-27 17:11:29.0437597;2021-07-27 17:12:16.0540144;"	Subscription for Group: App - Product Owner has some configuration problems.";;
8062;HostCPT00001;MasterSync.Agent;Synchroniser;2;2;2021-07-27 17:17:23.7710732;2021-07-27 17:17:29.5700741;Starting Synchroniser;;2
8063;HostCPT00001;MasterSync.Agent;Processor.Validation;2;2;2021-07-27 17:17:24.1712647;2021-07-27 17:17:29.5700741;Starting MasterSync.Agent.AgentSynchroniser Synchroniser 2021-07-27 05:17:24;;
8065;HostCPT00001;MasterSync.Agent;Processor.SearchDataRetrieval;2;2;2021-07-27 17:17:24.5871926;2021-07-27 17:17:29.9158789;Retrieved 0 Search records;;
8069;HostCPT00001;MasterSync.Prop;Synchroniser;2;2;2021-07-27 17:17:32.7419591;2021-07-27 17:17:37.6557535;Starting Synchroniser;;2
8070;HostCPT00001;MasterSync.Prop;Processor.Validation;2;2;2021-07-27 17:17:33.0341910;2021-07-27 17:17:37.6557535;Starting MasterSync.Prop.PropSynchroniser Synchroniser 2021-07-27 05:17:33;;
8072;HostCPT00001;MasterSync.Prop;Processor.SearchDataRetrieval;2;2;2021-07-27 17:17:33.4218022;2021-07-27 17:17:38.0002643;Retrieved 0 Search records;;
8084;HostCPT00001;MasterSync.Agent;Synchroniser;2;2;2021-07-27 17:18:07.5039166;2021-07-27 17:18:13.1668556;Starting Synchroniser;;2
8085;HostCPT00001;MasterSync.Agent;Processor.Validation;2;2;2021-07-27 17:18:07.9100997;2021-07-27 17:18:13.1668556;Starting MasterSync.Agent.AgentSynchroniser Synchroniser 2021-07-27 05:18:07;;
8087;HostCPT00001;MasterSync.Agent;Processor.SearchDataRetrieval;2;2;2021-07-27 17:18:08.3071605;2021-07-27 17:18:13.6047645;Retrieved 0 Search records;;
8091;HostCPT00001;MasterSync.Prop;Synchroniser;2;2;2021-07-27 17:18:16.5827683;2021-07-27 17:18:21.6650558;Starting Synchroniser;;2
8092;HostCPT00001;MasterSync.Prop;Processor.Validation;2;2;2021-07-27 17:18:16.8911912;2021-07-27 17:18:21.6650558;Starting MasterSync.Prop.PropSynchroniser Synchroniser 2021-07-27 05:18:16;;
8094;HostCPT00001;MasterSync.Prop;Processor.SearchDataRetrieval;2;2;2021-07-27 17:18:17.2827612;2021-07-27 17:18:22.0086906;Retrieved 0 Search records;;
8336;HostCPT00001;MasterSync.Agent;Synchroniser;2;2;2021-07-28 10:37:00.4903895;2021-07-28 10:37:06.0861832;Starting Synchroniser;;2
