Id;Host;AppName;EventName;EventLevelId;StatusId;StartTime;EndTime;Message;ParentEventId;EventCount
7764;HostCPT00001;MasterSync.Prop;Processor.SearchBatchProcess;2;2;2021-07-27 17:02:18.4807163;2021-07-27 17:02:22.9079369;Completed Data batch. Iteration 1;7762;5
7765;HostCPT00001;MasterSync.Prop;Processor.SearchDataRetrieval;2;2;2021-07-27 17:02:18.6971755;2021-07-27 17:02:22.9079369;Retrieving Search records. Synchronisation Mode = DateRange;7764;0
7767;HostCPT00001;MasterSync.Prop;Processor.SearchBatchValidation;2;2;2021-07-27 17:02:19.8008792;2021-07-27 17:02:23.5958111;No data to process;7764;0
7768;HostCPT00001;MasterSync.Prop;GroupProcess;2;2;2021-07-27 17:02:19.9963692;2021-07-27 17:02:23.9557894;No data to process or no data successfully validated to process;7764;0
7769;HostCPT00001;MasterSync.Prop;Processor.MarkInvalidSearches;2;2;2021-07-27 17:02:20.2008087;2021-07-27 17:02:24.3069844;Updating Invalid Searches completed. 0 records processed;7764;0
7995;HostCPT00001;App.BillingGenerator;Subscription.Count;2;2;2021-07-27 17:11:18.3003822;2021-07-27 17:12:11.5061007;"	Found 15 active subscriptions";7994;0
7996;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:18.7063820;2021-07-27 17:12:11.8621550;Begin processing Group Id 901;7994;2
7997;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:19.0048027;2021-07-27 17:12:11.8621550;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";7996;0
7998;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:11:19.4459017;2021-07-27 17:12:12.2141987;"	There are no prices setup for Group Product Owner";7996;0
7999;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:19.9481755;2021-07-27 17:12:12.8224799;Begin processing Group Id 902;7994;2
8000;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:21.1928697;2021-07-27 17:12:12.8224799;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";7999;0
8001;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:11:21.8441679;2021-07-27 17:12:13.1665516;"	There are no prices setup for Group Product Owner";7999;0
8002;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:22.3474374;2021-07-27 17:12:13.7709729;Begin processing Group Id 906;7994;2
8003;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:23.6056464;2021-07-27 17:12:13.7709729;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8002;0
8004;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:11:24.2659468;2021-07-27 17:12:14.1300947;"	There are no prices setup for Group Product Owner";8002;0
8005;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:24.7602221;2021-07-27 17:12:14.7305788;Begin processing Group Id 908;7994;2
8006;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:26.0146674;2021-07-27 17:12:14.7305788;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8005;0
8007;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:11:26.6451285;2021-07-27 17:12:15.0826124;"	There are no prices setup for Group App - Product Owner";8005;0
8008;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:27.1322490;2021-07-27 17:12:15.6910395;Begin processing Group Id 909;7994;2
8009;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:28.3964713;2021-07-27 17:12:15.6910395;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8008;0
8011;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:29.5440955;2021-07-27 17:12:16.6225332;Begin processing Group Id 911;7994;2
8012;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:30.7997615;2021-07-27 17:12:16.6225332;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8011;0
8013;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:11:31.4524245;2021-07-27 17:12:16.9545665;"	There are no prices setup for Group App - Product Owner";8011;0
8014;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:31.9562225;2021-07-27 17:12:17.5550842;Begin processing Group Id 912;7994;2
8015;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:33.2225870;2021-07-27 17:12:17.5550842;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8014;0
8016;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:11:33.8721756;2021-07-27 17:12:17.9181677;"	There are no prices setup for Group App Admin Group";8014;0
8017;HostCPT00001;App.BillingGenerator;GroupProcess;2;2;2021-07-27 17:11:34.3554639;2021-07-27 17:12:18.5183298;Begin processing Group Id 913;7994;13
8018;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:35.6148182;2021-07-27 17:12:18.5183298;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8017;0
8019;HostCPT00001;App.BillingGenerator;Transaction.Generate;2;2;2021-07-27 17:11:36.3225701;2021-07-27 17:12:18.8509938;"		Generated 1 transactions";8017;0
8020;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:36.5290470;2021-07-27 17:12:19.1985713; App Implementation Fee date 2020-11-12 exists ;8017;0
8021;HostCPT00001;App.BillingGenerator;Transaction.Generate;2;2;2021-07-27 17:11:36.7320612;2021-07-27 17:12:19.5548730;"		Generated 9 transactions";8017;0
8022;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:37.2915454;2021-07-27 17:12:19.9189889; App Monthly Subscription Fee date 2020-11-12 exists ;8017;0
8023;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:37.8407333;2021-07-27 17:12:20.2790656; App Monthly Subscription Fee date 2020-12-12 exists ;8017;0
8024;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:38.3686695;2021-07-27 17:12:20.6387934; App Monthly Subscription Fee date 2021-01-12 exists ;8017;0
8025;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:38.9230704;2021-07-27 17:12:20.9913557; App Monthly Subscription Fee date 2021-02-12 exists ;8017;0
8026;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:39.4647844;2021-07-27 17:12:21.3349884; App Monthly Subscription Fee date 2021-03-12 exists ;8017;0
8027;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:40.0284371;2021-07-27 17:12:21.6729118; App Monthly Subscription Fee date 2021-04-12 exists ;8017;0
8028;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:40.5844171;2021-07-27 17:12:22.0385317; App Monthly Subscription Fee date 2021-05-12 exists ;8017;0
8029;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:41.1241909;2021-07-27 17:12:22.3790139; App Monthly Subscription Fee date 2021-06-12 exists ;8017;0
8030;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:41.6643238;2021-07-27 17:12:22.7268009; App Monthly Subscription Fee date 2021-07-12 exists ;8017;0
8031;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:42.2118731;2021-07-27 17:12:23.4230040;Begin processing Group Id 915;7994;2
8032;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:47.2976097;2021-07-27 17:12:23.4230040;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8031;0
8033;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:11:47.9399719;2021-07-27 17:12:23.7785690;"	There are no prices setup for Group App – Product Owner";8031;0
8034;HostCPT00001;App.BillingGenerator;GroupProcess;2;2;2021-07-27 17:11:48.4239365;2021-07-27 17:12:24.3743785;Begin processing Group Id 933;7994;12
8035;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:11:49.6582561;2021-07-27 17:12:24.3743785;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8034;0
8036;HostCPT00001;App.BillingGenerator;Transaction.Generate;2;2;2021-07-27 17:11:50.3403873;2021-07-27 17:12:24.7306824;"		Generated 1 transactions";8034;0
8037;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:50.8752333;2021-07-27 17:12:25.0866623; App Implementation Fee date 2021-01-01 exists ;8034;0
8038;HostCPT00001;App.BillingGenerator;Transaction.Generate;2;2;2021-07-27 17:11:51.4093570;2021-07-27 17:12:25.4390039;"		Generated 3 transactions";8034;0
8039;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:51.9594616;2021-07-27 17:12:25.7750005; App Monthly Subscription Fee date 2021-05-01 exists ;8034;0
8040;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:52.4998328;2021-07-27 17:12:26.1188823; App Monthly Subscription Fee date 2021-06-01 exists ;8034;0
8041;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:53.0845487;2021-07-27 17:12:26.4711618; App Monthly Subscription Fee date 2021-07-01 exists ;8034;0
8042;HostCPT00001;App.BillingGenerator;Transaction.Generate;2;2;2021-07-27 17:11:53.6127505;2021-07-27 17:12:26.8145389;"		Generated 4 transactions";8034;0
8043;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:54.1444880;2021-07-27 17:12:27.1791248; App Monthly Subscription Fee date 2021-01-01 exists ;8034;0
8044;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:54.6844799;2021-07-27 17:12:27.5307085; App Monthly Subscription Fee date 2021-02-01 exists ;8034;0
8045;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:55.2221646;2021-07-27 17:12:27.8867462; App Monthly Subscription Fee date 2021-03-01 exists ;8034;0
8046;HostCPT00001;App.BillingGenerator;Transaction.Validation;2;2;2021-07-27 17:11:55.7601146;2021-07-27 17:12:28.2550943; App Monthly Subscription Fee date 2021-04-01 exists ;8034;0
8047;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:11:56.3086884;2021-07-27 17:12:28.9589476;Begin processing Group Id 934;7994;2
8048;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:12:00.9689054;2021-07-27 17:12:28.9589476;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8047;0
8049;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:12:01.5703817;2021-07-27 17:12:29.3150454;"	There are no prices setup for Group App - Product Owner";8047;0
8050;HostCPT00001;App.BillingGenerator;GroupProcess;2;3;2021-07-27 17:12:02.0522750;2021-07-27 17:12:29.9037355;Begin processing Group Id 935;7994;2
8051;HostCPT00001;App.BillingGenerator;Subscription.Configuration;3;2;2021-07-27 17:12:03.2449697;2021-07-27 17:12:29.9037355;"	Subscription does not have a DateDeactivated value. Using the current billDay (2021-07-27) for the purposes of processing";8050;0
8052;HostCPT00001;App.BillingGenerator;Subscription.PriceConfiguration;3;3;2021-07-27 17:12:03.8692445;2021-07-27 17:12:30.2431189;"	There are no prices setup for Group App - Automation";8050;0
